"","Date","Adj.Close.hk","forecast_with_1_xreg","forecast_with_6_xreg"
"1",2019-10-01,59.585705,59.2702712700787,59.1745606310148
"2",2019-10-02,58.845818,58.9343668178928,59.0323673866306
"3",2019-10-03,58.056599,58.1935579671774,58.2735361849891
"4",2019-10-04,57.464687,58.3754818215535,58.0430119293127
"5",2019-10-07,57.464687,58.0062595704175,57.914590766589
"6",2019-10-08,57.661995,57.8239570549284,57.7284839897202
"7",2019-10-09,57.316711,57.3021807739746,57.4192302746373
"8",2019-10-10,57.450001,57.5565695774759,57.309452263569
"9",2019-10-11,58.950001,58.0118687486321,57.8025628001627
"10",2019-10-14,59.950001,59.5477808697414,59.1999448255434
"11",2019-10-15,59.950001,59.6960994195992,60.0054656909518
"12",2019-10-16,60.099998,60.1183274227786,60.2727325377592
"13",2019-10-17,60.900002,60.1708880433445,60.3741005400776
"14",2019-10-18,60.900002,60.5618016365538,60.7198642315609
"15",2019-10-21,61.150002,60.4986609501151,60.7249991077029
"16",2019-10-22,61.400002,61.0841127602015,61.070643423265
"17",2019-10-23,61.200001,61.2216572520463,61.4264123874916
"18",2019-10-24,61.849998,61.3640343889679,61.4661102353035
"19",2019-10-25,61.650002,61.5796460558439,61.6875154831755
"20",2019-10-28,60.25,61.6595347356216,61.7544649575731
"21",2019-10-29,59.450001,59.8737242207399,60.5219708681648
"22",2019-10-30,59.200001,59.6514677988978,59.5354303641049
"23",2019-10-31,59.5,59.5006413558718,59.409290632588
"24",2019-11-01,59.599998,59.3577372781811,59.258613151291
"25",2019-11-04,60.099998,59.7004052665519,59.4644653367525
"26",2019-11-05,60.099998,60.2471176467047,60.0302642650821
"27",2019-11-06,60.349998,60.1223756682018,60.2465939423786
"28",2019-11-07,60.200001,60.2494355834136,60.2763745062071
"29",2019-11-08,60.049999,60.1767547805073,60.2459642222792
"30",2019-11-11,59,59.9467980747801,59.9969625515847
"31",2019-11-12,59.049999,59.179805465262,59.3513265143781
"32",2019-11-13,58.25,59.118205598298,58.9973436951681
"33",2019-11-14,57.900002,58.1187719246367,58.3192820750707
"34",2019-11-15,57.700001,57.9752327760106,57.7860930612644
